,0
0,0.024939626791915546
1,-0.18885742953256324
2,-0.1984821402963571
3,-1.1412299187383654
4,-0.040100616855297457
5,-0.1802245999965096
6,0.7788862688418822
7,-0.3447353924928865
8,0.12282983704227986
9,0.09039136437904345
10,-0.07170441766818915
11,-0.019523665762587225
12,-0.1125705908846788
13,-0.0914587445493388
14,-0.35003566166736566
15,-0.12387092022154905
16,-0.22048164787087998
17,-0.07774601420063426
18,-0.47610385378317976
19,-0.12051809190284157
20,-0.3652843302209384
21,0.005444452420000657
22,-0.22395653940828403
23,-0.1355933304693595
24,-0.040513772740947404
25,-0.02634151024279594
26,-0.04490535459149158
27,0.07427837089949
28,-0.0868060010046011
29,-0.052542527080414674
30,-0.21133611455950843
31,-0.016135081521602743
32,-0.03809257937654343
33,0.11687236562770319
34,-0.25013183474080736
35,-0.06562422188691247
36,-0.4381119238751387
37,-0.36606793378289965
38,-0.3655884048153854
39,-0.39458966186211164
40,-0.018715922383860877
41,-0.1898962553816866
42,-0.10421360725021893
43,0.012304017186506483
44,-0.0611001727242936
45,-0.314189286972289
46,-0.328397677693528
47,-0.1344199416817165
48,-0.12504056050051574
49,-0.3037434728146942
50,-0.184057445481298
51,-0.19653555295963315
52,-0.09851693007974456
53,-0.07293546314620887
54,-0.029504566727302357
55,-0.028314732319699405
56,-0.2765813392692662
57,0.037581761162974146
58,-0.0905508424132929
59,-0.30701949496849384
60,-0.33083725562321353
61,-0.017540671167033717
62,-0.14827611353155326
63,-0.10591156849238245
64,-0.15367138603409386
65,-0.4043714096045533
66,0.07449806359085095
67,-0.6030946096187302
68,0.06656372428904637
69,-0.08455634499354327
70,-0.13806352068815825
71,-0.24080232729896914
72,-0.049760155878377156
73,-0.06806063519619727
74,-0.09218711464122041
75,-0.3653146733633972
76,-0.6115187733663837
77,0.44610556678056584
78,-0.21564783773380627
79,-0.2934203864270217
80,-0.21567295542490453
81,-0.09465032664128861
82,-0.3038494462212563
83,0.013172681021968542
84,-0.21789024948234628
85,-0.07054003907355368
86,0.05214835801243134
87,-0.07184192487308606
88,0.09162376416634249
89,-0.4120483663678053
90,-0.06456858284255479
91,-0.014045231522495883
92,0.04781021808131933
93,-0.37783271341960917
94,-0.020067867454908198
95,-0.16059449263476913
96,-0.26411785499230295
97,-0.0916062131506535
98,-0.181744596959584
99,-0.07957254705634186
100,-0.02139851388364119
101,-0.10837668237528002
102,-0.1350906413859276
103,-0.00814584928306436
104,-0.15816326216265617
105,-0.19757594672973472
106,-0.21075778290697159
107,-0.12904279459044896
108,-0.36648139244894945
109,-0.05585042347473562
110,-0.09562464280579867
111,-0.049795642743437445
112,0.04410743679237303
113,-0.06339749175102992
114,-0.2559522909244311
115,-0.09865412266221756
116,-0.07866267920405953
117,-0.21756564011411536
118,-0.10158204406847915
119,-0.0647385835255225
120,-0.0897044335994588
121,-0.18992451600967103
122,-0.10653688196711203
123,0.010734915829771952
124,0.020801369377153246
125,0.0025712950032573804
126,0.005957680843373389
127,0.11186992428454458
128,-0.04766377167244697
129,-0.2995461162505196
130,0.12482982191703434
131,-0.08689735319932934
132,0.13731218734435588
133,-1.9437391857786679
134,-0.012537751786628533
135,-0.3683214287796473
136,-0.3629101475699029
137,-0.7043245675738113
138,-1.3407162401360633
139,-0.03807175765674803
140,-1.1260858472281265
141,-1.4387420249978633
142,0.5328981603438695
143,0.31323301732151754
144,0.4529806523682044
145,0.11234651502306617
146,0.255067255146399
147,0.29183372048620976
148,0.1417913280655715
149,0.17666997409205412
150,-0.1031190704394995
151,0.6656722679353897
152,0.18758307585506234
153,0.021691318691442297
154,0.24024794137369682
155,-0.00430512074395401
156,0.7795950457715264
157,0.3142778152957128
158,0.2878777141865074
159,0.5913980269529545
160,0.19666309742934396
161,0.010111510310617564
162,0.005008751346220748
163,0.277806120619195
164,0.09846180960953839
165,-0.040867020362543124
166,0.018677672790464485
167,0.549272339448274
168,-0.04367306773388172
169,0.10413831065925741
170,0.8937196984917339
171,0.14194566377744527
172,0.04062540497738733
173,0.15191913694393455
174,-0.11831522330780658
175,0.250432143096187
176,-0.08070951174232416
177,0.16075575259860772
